ID,Timestamp,Config Hash,N_J,N_M,Training Complete,Testing Complete,Best Validation,Test Win Rate
exp_20250309_201257,20250309_201257,8ac09727,6,6,True,True,12820.65,50.0
exp_20250309_213356,20250309_213356,8ac09727,6,6,True,True,12820.65,50.0
exp_20250309_215101,20250309_215101,cf5b39a0,6,6,True,True,12887.71,46.0
exp_20250309_223155,20250309_223155,07b6d784,6,6,True,True,12912.14,40.0
exp_20250309_225210,20250309_225210,3cf16921,6,6,True,True,12797.22,51.0
exp_20250309_230303,20250309_230303,3978b465,6,6,True,True,13579.82,15.0
exp_20250309_231325,20250309_231325,079487b1,6,6,True,True,13064.94,35.0
exp_20250309_232251,20250309_232251,87daf457,6,6,True,True,13158.19,11.0
exp_20250309_233215,20250309_233215,969b93b1,6,6,True,True,14621.89,7.000000000000001
exp_20250310_082656,20250310_082656,adb1a5b2,6,6,True,True,13713.86,17.0
exp_20250310_091217,20250310_091217,0dfa08d1,6,6,True,True,14451.54,11.0
