instance,winner,improvement,weight_mean,weight_std,weight_ratio,proc_time_mean,proc_time_std,wspt_ratio_std,gini_coefficient,l2d_score,wspt_score,machine_load_std,machine_load_ratio,bottleneck_operations
0,WSPT,-4.4717155585441715,5.0,2.581988897471611,8.0,54.44444444444444,28.910248513905973,0.009787185063850427,0.28888888888888886,12429.0,11897.0,72.3824717885637,2.150485436893204,6
1,WSPT,-35.84156987230359,5.666666666666667,3.39934634239519,9.0,47.138888888888886,30.080588773952787,0.014060138521183459,0.31372549019607854,18829.0,13861.0,32.63646563108341,1.347457627118644,6
2,L2D,14.233612617052735,5.833333333333333,1.674979270186815,2.6666666666666665,56.5,26.608791362588754,0.005245201872860587,0.15714285714285714,17402.0,20290.0,67.07707010099153,1.7576923076923077,6
3,WSPT,-38.148223764801955,3.8333333333333335,1.9507833184532706,3.5,52.138888888888886,26.15674204332389,0.008718202865877314,0.2681159420289857,13533.0,9796.0,16.3749469888879,1.1428571428571428,6
4,WSPT,-22.05706702057067,3.1666666666666665,1.7716909687891083,6.0,52.75,25.00486063859496,0.00984363095443757,0.3070175438596491,9197.0,7535.0,93.97473064606251,2.7,6
5,WSPT,-3.2423684357386016,5.666666666666667,1.1055415967851332,1.75,53.97222222222222,29.894709780151842,0.001988043711320429,0.10784313725490191,18500.0,17919.0,83.36149524144159,2.3564356435643563,6
6,L2D,11.35448275862069,6.5,1.118033988749895,1.6,47.19444444444444,25.70108022421155,0.0024815465634571007,0.08974358974358976,16067.0,18125.0,64.08436280057371,1.82648401826484,6
7,WSPT,-12.5715895221106,4.666666666666667,1.8856180831641267,7.0,48.861111111111114,28.597933858718786,0.007721945292984511,0.2142857142857143,11990.0,10651.0,59.243611938803625,2.0255102040816326,6
8,WSPT,-36.63286004056795,5.166666666666667,3.287180487219337,9.0,53.833333333333336,29.547983574743867,0.011907408990181178,0.34946236559139787,16840.0,12325.0,21.10292238845922,1.2392857142857143,6
9,WSPT,-9.059014033825116,4.333333333333333,1.1055415967851332,2.0,45.94444444444444,29.660996128889952,0.005166228531639883,0.14102564102564097,12123.0,11116.0,80.83865961833416,2.538961038961039,6
10,WSPT,-49.44764422622982,5.666666666666667,3.39934634239519,9.0,48.888888888888886,32.39065175305453,0.0179110510249452,0.31372549019607854,15828.0,10591.0,72.79117773161495,2.2857142857142856,6
11,WSPT,-20.656634746922027,3.1666666666666665,2.034425935955617,7.0,53.583333333333336,28.09346998068333,0.0057724841149003545,0.3421052631578947,10584.0,8772.0,78.92348615378484,2.0619047619047617,6
12,WSPT,-8.823529411764707,5.0,3.1091263510296048,9.0,51.0,29.354159273715652,0.009792863196062524,0.34444444444444444,15096.0,13872.0,39.96248240537617,1.404669260700389,6
13,L2D,4.429098702226455,8.333333333333334,0.7453559924999299,1.2857142857142858,48.94444444444444,25.917544941650412,0.007315413273174775,0.04666666666666652,24081.0,25197.0,44.81319250201019,1.661764705882353,6
14,WSPT,-22.932461570564094,5.333333333333333,1.5986105077709065,2.6666666666666665,49.583333333333336,30.288772213845547,0.006732373471249519,0.16666666666666663,17674.0,14377.0,76.76533505864914,2.175609756097561,6
15,WSPT,-29.87144526684846,5.666666666666667,3.3499585403736303,9.0,47.111111111111114,32.09342073262038,0.014626756096035524,0.3039215686274509,16669.0,12835.0,60.72250177835414,1.9278350515463918,6
16,L2D,7.702754087674507,6.333333333333333,2.4267032964268394,4.5,49.833333333333336,23.267168093928213,0.008989515871079974,0.21052631578947378,16991.0,18409.0,77.7646020586059,2.108108108108108,6
17,WSPT,-9.564998320456835,5.833333333333333,2.6087459737497545,9.0,47.80555555555556,27.51647934970005,0.010254344916673059,0.24285714285714288,13047.0,11908.0,40.4286064838033,1.5765765765765767,6
18,WSPT,-31.279244983741773,4.666666666666667,1.1055415967851332,2.0,57.138888888888886,25.11324659061404,0.004659817547134069,0.13095238095238093,16553.0,12609.0,58.018435767339405,1.5467625899280575,6
19,WSPT,-42.94609208585941,5.166666666666667,2.3392781412697,4.0,56.111111111111114,27.91035030810233,0.011499519519285854,0.25268817204301064,17448.0,12206.0,61.39127697718047,1.672,6
20,WSPT,-11.823552579755809,5.666666666666667,2.494438257849294,4.5,48.27777777777778,25.497942303809438,0.007778368786915043,0.2450980392156863,14196.0,12695.0,47.967581645199594,1.7772277227722773,6
21,WSPT,-32.87750107960271,3.1666666666666665,2.4094720491334933,7.0,42.888888888888886,31.135704565103904,0.006895223504384501,0.39473684210526316,9231.0,6947.0,59.43250139630859,2.080745341614907,6
22,WSPT,-0.6974956063268892,6.5,1.8027756377319946,3.0,51.97222222222222,27.10523331092183,0.008503313538065879,0.14102564102564108,18335.0,18208.0,68.06471593678737,1.9611650485436893,6
23,WSPT,-18.521974433143605,5.5,2.9297326385411577,9.0,41.361111111111114,25.107715478378548,0.015570111470020584,0.297979797979798,12702.0,10717.0,28.979398812873182,1.4583333333333333,6
24,WSPT,-24.005182306126226,5.0,2.23606797749979,8.0,41.52777777777778,27.880186225178218,0.009592921263999254,0.24444444444444446,13400.0,10806.0,67.66440882932638,2.4296296296296296,6
25,L2D,2.5480622520598106,4.333333333333333,1.7950549357115013,7.0,50.52777777777778,29.09991037702036,0.005316840578796661,0.21794871794871795,12774.0,13108.0,42.26667981072351,1.5061728395061729,6
26,WSPT,-18.54210368594546,5.333333333333333,2.8674417556808756,9.0,52.111111111111114,28.07111779607267,0.010183451574977622,0.30208333333333337,15823.0,13348.0,49.64093293061909,1.5833333333333333,6
27,WSPT,-6.441069025187464,4.0,2.160246899469287,7.0,51.333333333333336,27.379026847408422,0.01322372483365081,0.3055555555555557,11072.0,10402.0,71.43295224661142,2.1297297297297297,6
28,L2D,4.875830073683253,4.833333333333333,1.5723301886761007,2.6666666666666665,40.388888888888886,24.87778770284155,0.006360960311432364,0.16666666666666663,10457.0,10993.0,40.56133900923665,1.6010362694300517,6
29,WSPT,-25.293308520106805,4.833333333333333,2.9674156357941426,9.0,47.361111111111114,27.30807041657362,0.010074075063260773,0.3390804597701149,15485.0,12359.0,62.78380010445016,2.2011494252873565,6
30,WSPT,-44.40546178645932,4.166666666666667,2.6718699236468995,9.0,54.861111111111114,28.983858321656843,0.010553824226469466,0.3533333333333334,15229.0,10546.0,25.49128391343903,1.2615894039735098,6
31,WSPT,-16.771521860316955,5.166666666666667,1.8633899812498247,2.6666666666666665,47.583333333333336,27.102044818303533,0.01055014218548417,0.19892473118279563,14663.0,12557.0,54.441865018262064,1.6238532110091743,6
32,WSPT,-0.43852391196425616,4.333333333333333,2.494438257849294,4.5,52.833333333333336,29.675560464612772,0.00841130760900243,0.3076923076923078,12139.0,12086.0,24.055491403558285,1.2272727272727273,6
33,WSPT,-27.919574955724553,4.5,3.253203549323856,9.0,42.69444444444444,26.494044870125943,0.011056852556088974,0.38888888888888884,12279.0,9599.0,58.48480334430665,1.9261363636363635,6
34,WSPT,-7.9146203248961084,4.0,1.5275252316519468,3.0,49.388888888888886,27.744146307302152,0.005436549692329517,0.20833333333333337,11426.0,10588.0,61.651349449050095,1.8529411764705883,6
35,WSPT,-59.06229929351316,3.6666666666666665,3.1446603773522015,9.0,52.19444444444444,27.702606620681866,0.012112163422496677,0.43939393939393945,12383.0,7785.0,43.51021591406883,1.4351145038167938,6
36,WSPT,-14.236693001356635,4.666666666666667,2.6246692913372702,9.0,52.75,25.59011853561188,0.008245296305005255,0.3095238095238094,14315.0,12531.0,69.13453068715613,1.7434782608695651,6
37,WSPT,-22.431348349274916,4.666666666666667,1.247219128924647,2.0,43.72222222222222,28.89022432810786,0.014283509373202392,0.1428571428571428,11904.0,9723.0,68.01878825409605,1.9707602339181287,6
38,WSPT,-3.8198553583168966,5.333333333333333,1.4907119849998596,2.3333333333333335,53.138888888888886,26.608428883613573,0.00435605135419558,0.15625,15791.0,15210.0,67.11784826374841,2.0,6
39,WSPT,-27.70254584848719,5.333333333333333,2.808716591058786,8.0,54.638888888888886,26.594854115638586,0.01039236861122387,0.28125,16503.0,12923.0,70.68572856116164,1.806949806949807,6
40,L2D,8.697401701540585,6.5,2.0615528128088303,3.0,45.416666666666664,25.67789256669376,0.006167195411702334,0.17521367521367515,15883.0,17396.0,18.803811670332514,1.2049180327868851,6
41,WSPT,-39.58002175186145,5.5,2.753785273643051,9.0,49.888888888888886,29.40311564913731,0.009865099848127326,0.2777777777777777,16684.0,11953.0,70.4808878743419,2.2203389830508473,6
42,WSPT,-17.170022371364656,4.0,2.516611478423583,9.0,50.861111111111114,30.302321856196816,0.007984921771633211,0.31944444444444453,12570.0,10728.0,65.87467056632786,1.7398373983739837,6
43,WSPT,-6.916323239562802,2.5,1.6072751268321592,5.0,51.111111111111114,28.926898072533902,0.0068564875783944336,0.34444444444444444,5967.0,5581.0,50.02221728614418,1.5748987854251013,6
44,WSPT,-5.098432158434516,6.5,2.6299556396765835,9.0,48.69444444444444,30.613921528579525,0.01344018613589871,0.20085470085470092,17831.0,16966.0,84.29989455641224,2.7266666666666666,6
45,WSPT,-53.772405168820335,3.5,2.6299556396765835,8.0,48.25,30.338255095213075,0.013180398624695656,0.40476190476190477,11067.0,7197.0,78.48938357085838,2.893939393939394,6
46,WSPT,-23.263370510230967,5.166666666666667,2.91070819942883,4.5,44.47222222222222,26.9603475405302,0.014514297214424687,0.30645161290322587,14036.0,11387.0,50.25076008269814,1.6018957345971565,6
47,WSPT,-26.776960784313726,5.833333333333333,2.608745973749755,9.0,52.52777777777778,30.23839181415197,0.014933269009993085,0.24285714285714288,16552.0,13056.0,48.6429736846843,1.6752136752136753,6
48,WSPT,-22.080934788212044,5.0,2.581988897471611,9.0,51.77777777777778,27.17955840446508,0.014003484939845838,0.28888888888888886,14209.0,11639.0,30.679345205239017,1.3543307086614174,6
49,WSPT,-6.648575305291724,5.666666666666667,1.7950549357115013,2.25,46.611111111111114,27.473500138798173,0.010250179016414545,0.16666666666666663,14148.0,13266.0,54.66463410855525,1.7264150943396226,6
50,WSPT,-6.9300600946170565,6.0,2.309401076758503,4.5,50.861111111111114,28.998230576074977,0.00912193022659053,0.2129629629629629,16726.0,15642.0,83.18737217203636,2.468208092485549,6
51,WSPT,-11.46640510053948,3.8333333333333335,1.9507833184532706,4.0,48.69444444444444,26.614343923327056,0.0038640663517476993,0.23913043478260876,11364.0,10195.0,51.55714197750772,1.6965174129353233,6
52,WSPT,-23.471311166402774,5.166666666666667,2.9674156357941426,9.0,50.97222222222222,27.0580508773997,0.009605007535874378,0.31720430107526887,16376.0,13263.0,48.79691474764454,1.706896551724138,6
53,L2D,15.52535749178435,7.166666666666667,1.6749792701868151,2.25,53.916666666666664,30.701406952921378,0.00848467258507752,0.1201550387596898,19022.0,22518.0,64.03579728037539,1.7586206896551724,6
